t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
58273.732,-370506.367751841,-116306.828631243,-76548.769429400,0.313989328,-0.839623701,-0.439230970
58873.732,-370317.545792477,-116810.467282523,-76812.218434632,0.315417039,-0.839171487,-0.438932217
59473.732,-370127.867502556,-117313.834035714,-77075.487893017,0.316843763,-0.838717375,-0.438632481
60073.732,-369937.333474973,-117816.927753118,-77338.577215718,0.318269497,-0.838261368,-0.438331765
60673.732,-369745.944304342,-118319.747298042,-77601.485814508,0.319694239,-0.837803467,-0.438030068
61273.732,-369553.700586999,-118822.291534801,-77864.213101771,0.321117986,-0.837343674,-0.437727393
61873.732,-369360.602920996,-119324.559328721,-78126.758490501,0.322540734,-0.836881991,-0.437423740
62473.732,-369166.651906100,-119826.549546137,-78389.121394308,0.323962482,-0.836418419,-0.437119110
63073.732,-368971.848143792,-120328.261054398,-78651.301227413,0.325383225,-0.835952961,-0.436813504
63673.732,-368776.192237261,-120829.692721868,-78913.297404652,0.326802962,-0.835485617,-0.436506924
64273.732,-368579.684791403,-121330.843417927,-79175.109341475,0.328221689,-0.835016390,-0.436199370
64873.732,-368382.326412819,-121831.712012973,-79436.736453949,0.329639404,-0.834545280,-0.435890843
65473.732,-368184.117709811,-122332.297378424,-79698.178158760,0.331056103,-0.834072291,-0.435581344
66073.732,-367985.059292382,-122832.598386722,-79959.433873206,0.332471785,-0.833597424,-0.435270875
66673.732,-367785.151772229,-123332.613911328,-80220.503015210,0.333886445,-0.833120679,-0.434959437
67273.732,-367584.395762744,-123832.342826733,-80481.385003310,0.335300082,-0.832642060,-0.434647029
67873.732,-367382.791879012,-124331.784008451,-80742.079256666,0.336712692,-0.832161567,-0.434333654
68473.732,-367180.340737805,-124830.936333027,-81002.585195057,0.338124273,-0.831679203,-0.434019313
69073.732,-366977.042957582,-125329.798678036,-81262.902238887,0.339534822,-0.831194969,-0.433704006
69673.732,-366772.899158483,-125828.369922083,-81523.029809180,0.340944336,-0.830708867,-0.433387734
70273.732,-366567.909962334,-126326.648944810,-81782.967327584,0.342352812,-0.830220898,-0.433070500
70873.732,-366362.075992635,-126824.634626893,-82042.714216372,0.343760247,-0.829731065,-0.432752303
71473.732,-366155.397874562,-127322.325850044,-82302.269898441,0.345166639,-0.829239369,-0.432433144
72073.732,-365947.876234967,-127819.721497014,-82561.633797315,0.346571985,-0.828745811,-0.432113025
72673.732,-365739.511702370,-128316.820451597,-82820.805337143,0.347976282,-0.828250394,-0.431791948
73273.732,-365530.304906959,-128813.621598627,-83079.783942704,0.349379527,-0.827753120,-0.431469911
73873.732,-365320.256480589,-129310.123823981,-83338.569039402,0.350781718,-0.827253989,-0.431146918
74473.732,-365109.367056776,-129806.326014584,-83597.160053272,0.352182852,-0.826753004,-0.430822969
75073.732,-364897.637270696,-130302.227058406,-83855.556410980,0.353582925,-0.826250167,-0.430498064
