t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
15199.591,EarthOrbit,-30824.641503677,-47874.295103169,-25914.294092717,-381788.448,-79514.348,-57205.129,0.277425012303,-1.540708877123,-0.831232197701
15439.591,EarthOrbit,-30756.623218096,-48241.826537823,-26112.577995766,-381738.158,-79722.413,-57315.045,0.289358198774,-1.522078402415,-0.821147412342
15679.591,EarthOrbit,-30685.766516714,-48604.904726471,-26308.451361397,-381687.861,-79930.476,-57424.960,0.301079520819,-1.503597808833,-0.811144013791
15919.591,EarthOrbit,-30612.121506083,-48963.565152594,-26501.933457342,-381637.214,-80138.466,-57534.822,0.312595109748,-1.485263051059,-0.801219804459
16159.591,EarthOrbit,-30535.736851625,-49317.842343883,-26693.043032129,-381586.567,-80346.456,-57644.684,0.323910845859,-1.467070208566,-0.791372654689
16399.591,EarthOrbit,-30456.659836323,-49667.769901536,-26881.798331020,-381535.732,-80554.407,-57754.517,0.335032371276,-1.449015480255,-0.781600499827
16639.591,EarthOrbit,-30374.936416415,-50013.380528308,-27068.217111286,-381484.728,-80762.321,-57864.325,0.345965102002,-1.431095179370,-0.771901337451
16879.591,EarthOrbit,-30290.611274298,-50354.706055368,-27252.316656817,-381433.715,-80970.234,-57974.131,0.356714239222,-1.413305728658,-0.762273224734
17119.591,EarthOrbit,-30203.727868792,-50691.777468022,-27434.113792126,-381382.353,-81178.072,-58083.884,0.367284779932,-1.395643655774,-0.752714275939
17359.591,EarthOrbit,-30114.328482936,-51024.624930363,-27613.624895759,-381330.991,-81385.911,-58193.636,0.377681526924,-1.378105588901,-0.743222660033
17599.591,EarthOrbit,-30022.454269458,-51353.277808894,-27790.865913151,-381279.442,-81593.710,-58303.360,0.387909098186,-1.360688252596,-0.733796598422
17839.591,EarthOrbit,-29928.145294056,-51677.764695175,-27965.852368951,-381227.723,-81801.472,-58413.058,0.397971935744,-1.343388463818,-0.724434362787
18079.591,EarthOrbit,-29831.440576619,-51998.113427549,-28138.599378836,-381175.996,-82009.232,-58522.754,0.407874313993,-1.326203128156,-0.715134273033
18319.591,EarthOrbit,-29732.378130508,-52314.351111972,-28309.121660852,-381123.920,-82216.917,-58632.397,0.417620347554,-1.309129236235,-0.705894695326
18559.591,EarthOrbit,-29630.995000001,-52626.504142010,-28477.433546288,-381071.844,-82424.602,-58742.039,0.427213998674,-1.292163860278,-0.696714040223
