t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
15695.644,outbound,-51301.356,36526.750,0.000,-220166.007,315103.617,0.000,-3.17267,0.83848,0.00000
15783.974,outbound,-51581.279,36600.587,0.000,-220240.089,315051.842,0.000,-3.16547,0.83337,0.00000
15872.304,outbound,-51860.568,36673.974,0.000,-220314.159,315000.050,0.000,-3.15832,0.82830,0.00000
15960.634,outbound,-52139.228,36746.916,0.000,-220388.216,314948.241,0.000,-3.15122,0.82329,0.00000
16048.964,outbound,-52417.264,36819.418,0.000,-220462.261,314896.414,0.000,-3.14418,0.81834,0.00000
16137.294,outbound,-52694.679,36891.485,0.000,-220536.294,314844.570,0.000,-3.13718,0.81344,0.00000
16225.623,outbound,-52971.479,36963.121,0.000,-220610.314,314792.708,0.000,-3.13024,0.80859,0.00000
16313.953,outbound,-53247.667,37034.331,0.000,-220684.323,314740.829,0.000,-3.12335,0.80379,0.00000
16402.283,outbound,-53523.249,37105.119,0.000,-220758.319,314688.933,0.000,-3.11650,0.79904,0.00000
16490.613,outbound,-53798.229,37175.490,0.000,-220832.303,314637.019,0.000,-3.10971,0.79433,0.00000
16578.943,outbound,-54072.610,37245.447,0.000,-220906.275,314585.088,0.000,-3.10296,0.78968,0.00000
16667.272,outbound,-54346.398,37314.996,0.000,-220980.235,314533.139,0.000,-3.09626,0.78508,0.00000
16755.602,outbound,-54619.596,37384.140,0.000,-221054.182,314481.173,0.000,-3.08961,0.78052,0.00000
16843.932,outbound,-54892.208,37452.883,0.000,-221128.118,314429.190,0.000,-3.08300,0.77600,0.00000
16932.262,outbound,-55164.239,37521.230,0.000,-221202.041,314377.189,0.000,-3.07644,0.77154,0.00000
17020.592,outbound,-55435.692,37589.184,0.000,-221275.951,314325.171,0.000,-3.06992,0.76711,0.00000
17108.922,outbound,-55706.571,37656.749,0.000,-221349.850,314273.136,0.000,-3.06345,0.76273,0.00000
17197.251,outbound,-55976.881,37723.929,0.000,-221423.736,314221.083,0.000,-3.05702,0.75840,0.00000
17285.581,outbound,-56246.625,37790.728,0.000,-221497.610,314169.013,0.000,-3.05064,0.75410,0.00000
17373.911,outbound,-56515.807,37857.150,0.000,-221571.472,314116.925,0.000,-3.04430,0.74985,0.00000
17462.241,outbound,-56784.431,37923.198,0.000,-221645.322,314064.820,0.000,-3.03800,0.74564,0.00000
17550.571,outbound,-57052.500,37988.876,0.000,-221719.159,314012.698,0.000,-3.03174,0.74147,0.00000
17638.900,outbound,-57320.019,38054.187,0.000,-221792.984,313960.558,0.000,-3.02553,0.73734,0.00000
17727.230,outbound,-57586.990,38119.136,0.000,-221866.797,313908.401,0.000,-3.01935,0.73325,0.00000
17815.560,outbound,-57853.418,38183.724,0.000,-221940.598,313856.227,0.000,-3.01322,0.72920,0.00000
17903.890,outbound,-58119.305,38247.957,0.000,-222014.386,313804.035,0.000,-3.00713,0.72519,0.00000
17992.220,outbound,-58384.657,38311.837,0.000,-222088.162,313751.826,0.000,-3.00107,0.72121,0.00000
18080.549,outbound,-58649.475,38375.367,0.000,-222161.926,313699.600,0.000,-2.99506,0.71727,0.00000
18168.879,outbound,-58913.764,38438.550,0.000,-222235.677,313647.356,0.000,-2.98908,0.71337,0.00000
18257.209,outbound,-59177.527,38501.391,0.000,-222309.416,313595.095,0.000,-2.98314,0.70950,0.00000
18345.539,outbound,-59440.766,38563.892,0.000,-222383.143,313542.816,0.000,-2.97725,0.70567,0.00000
