time,x,y,z
27060,-184723197.6133806,337106363.434867,0.0
27120,-184776775.67299122,337076998.88409334,0.0
27180,-184830349.06466174,337047625.8178814,0.0
27240,-184883917.7870388,337018244.2369732,0.0
27300,-184937481.83876914,336988854.14211106,0.0
27360,-184991041.21849954,336959455.5340374,0.0
27420,-185044595.924877,336930048.41349494,0.0
27480,-185098145.95654854,336900632.7812265,0.0
27540,-185151691.3121614,336871208.63797534,0.0
27600,-185205231.99036282,336841775.9844847,0.0
27660,-185258767.98980027,336812334.82149804,0.0
27720,-185312299.30912128,336782885.14975923,0.0
27780,-185365825.94697353,336753426.97001225,0.0
27840,-185419347.90200478,336723960.28300124,0.0
27900,-185472865.17286292,336694485.0894706,0.0
27960,-185526377.75819597,336665001.39016503,0.0
28020,-185579885.65665206,336635509.18582934,0.0
28080,-185633388.86687946,336606008.47720855,0.0
28140,-185686887.38752654,336576499.2650479,0.0
28200,-185740381.21724176,336546981.55009294,0.0
28260,-185793870.35467377,336517455.3330893,0.0
28320,-185847354.79847127,336487920.61478287,0.0
28380,-185900834.54728308,336458377.3959198,0.0
28440,-185954309.5997582,336428825.67724645,0.0
28500,-186007779.9545457,336399265.4595094,0.0
28560,-186061245.6102948,336369696.74345535,0.0
28620,-186114706.56565478,336340119.52983135,0.0
28680,-186168162.8192751,336310533.8193845,0.0
28740,-186221614.36980534,336280939.61286235,0.0
28800,-186275061.21589512,336251336.9110124,0.0
28860,-186328503.35619426,336221725.71458256,0.0
28920,-186381940.7893527,336192106.02432084,0.0
28980,-186435373.5140204,336162477.8409755,0.0
29040,-186488801.5288476,336132841.1652951,0.0
29100,-186542224.8324845,336103195.99802834,0.0
29160,-186595643.42358154,336073542.33992404,0.0
29220,-186649057.3007892,336043880.1917314,0.0
29280,-186702466.46275812,336014209.55419976,0.0
29340,-186755870.90813905,335984530.42807865,0.0
29400,-186809270.63558283,335954842.81411785,0.0
29460,-186862665.64374048,335925146.71306735,0.0
29520,-186916055.93126306,335895442.12567735,0.0
29580,-186969441.49680182,335865729.05269825,0.0
29640,-187022822.3390081,335836007.49488074,0.0
29700,-187076198.45653334,335806277.4529756,0.0
29760,-187129569.84802917,335776538.92773384,0.0
29820,-187182936.51214725,335746791.91990685,0.0
29880,-187236298.44753942,335717036.43024606,0.0
29940,-187289655.6528576,335687272.4595032,0.0
30000,-187343008.12675387,335657500.0084301,0.0
30060,-187396355.86788037,335627719.077779,0.0
30120,-187449698.87488946,335597929.6683022,0.0
30180,-187503037.1464335,335568131.7807522,0.0
30240,-187556370.68116507,335538325.4158818,0.0
30300,-187609699.4777368,335508510.57444406,0.0
30360,-187663023.53480148,335478687.25719213,0.0
30420,-187716342.851012,335448855.4648794,0.0
30480,-187769657.42502135,335419015.19825953,0.0
30540,-187822967.2554827,335389166.4580864,0.0
30600,-187876272.3410493,335359309.24511397,0.0
30660,-187929572.68037453,335329443.56009656,0.0
30720,-187982868.27211186,335299569.4037887,0.0
30780,-188036159.11491492,335269686.776945,0.0
30840,-188089445.20743746,335239795.6803204,0.0
30900,-188142726.54833332,335209896.11467004,0.0
30960,-188196003.1362565,335179988.0807493,0.0
31020,-188249274.96986103,335150071.57931364,0.0
31080,-188302542.0478012,335120146.6111189,0.0
31140,-188355804.36873132,335090213.17692107,0.0
31200,-188409061.93130583,335060271.2774763,0.0
31260,-188462314.73417932,335030320.9135411,0.0
31320,-188515562.7760065,335000362.08587193,0.0
31380,-188568806.05544215,334970394.79522574,0.0
31440,-188622044.57114124,334940419.04235953,0.0
31500,-188675278.3217588,334910434.82803065,0.0
31560,-188728507.30595002,334880442.1529965,0.0
31620,-188781731.5223702,334850441.0180148,0.0
31680,-188834950.96967474,334820431.42384344,0.0
31740,-188888165.6465192,334790413.37124056,0.0
31800,-188941375.55155927,334760386.8609645,0.0
31860,-188994580.68345067,334730351.89377373,0.0
31920,-189047781.04084933,334700308.4704271,0.0
31980,-189100976.62241125,334670256.59168357,0.0
32040,-189154167.42679262,334640196.2583023,0.0
32100,-189207353.45264965,334610127.4710427,0.0
32160,-189260534.69863877,334580050.2306644,0.0
32220,-189313711.16341645,334549964.5379272,0.0
32280,-189366882.84563932,334519870.3935912,0.0
32340,-189420049.74396414,334489767.7984166,0.0
32400,-189473211.85704774,334459656.75316393,0.0
32460,-189526369.18354714,334429537.2585938,0.0
32520,-189579521.72211945,334399409.3154671,0.0
32580,-189632669.4714219,334369272.92454505,0.0
32640,-189685812.4301118,334339128.08658886,0.0
32700,-189738950.59684667,334308974.8023601,0.0
32760,-189792083.97028407,334278813.0726206,0.0
32820,-189845212.54908174,334248642.89813215,0.0
32880,-189898336.3318975,334218464.27965707,0.0
32940,-189951455.3173893,334188277.21795774,0.0
33000,-190004569.50421524,334158081.7137967,0.0
33060,-190057678.8910335,334127877.76793677,0.0
33120,-190110783.4765024,334097665.38114107,0.0
33180,-190163883.25928035,334067444.55417275,0.0
33240,-190216978.23802596,334037215.2877953,0.0
33300,-190270068.4113979,334006977.5827724,0.0
33360,-190323153.77805498,333976731.4398679,0.0
33420,-190376234.33665612,333946476.85984594,0.0
33480,-190429310.08586037,333916213.8434708,0.0
33540,-190482381.0243269,333885942.391507,0.0
33600,-190535447.15071496,333855662.5047193,0.0
33660,-190588508.46368402,333825374.18387264,0.0
33720,-190641564.9618936,333795077.42973214,0.0
33780,-190694616.64400333,333764772.2430632,0.0
33840,-190747663.508673,333734458.62463146,0.0
33900,-190800705.55456254,333704136.57520264,0.0
33960,-190853742.7803319,333673806.0955428,0.0
34020,-190906775.1846413,333643467.1864182,0.0
34080,-190959802.76615095,333613119.84859514,0.0
34140,-191012825.52352127,333582764.08284044,0.0
34200,-191065843.45541275,333552399.8899209,0.0
34260,-191118856.56048602,333522027.27060354,0.0
34320,-191171864.83740184,333491646.22565573,0.0
34380,-191224868.28482106,333461256.75584495,0.0
34440,-191277866.9014047,333430858.8619389,0.0
34500,-191330860.68581387,333400452.5447055,0.0
34560,-191383849.6367098,333370037.804913,0.0
34620,-191436833.75275388,333339614.6433296,0.0
34680,-191489813.0326076,333309183.06072396,0.0
34740,-191542787.4749325,333278743.05786484,0.0
34800,-191595757.07839036,333248294.63552123,0.0
34860,-191648721.84164304,333217837.7944623,0.0
34920,-191701681.76335248,333187372.53545755,0.0
34980,-191754636.8421808,333156898.85927653,0.0
